"Drug","Neuroticism","Extraversion","Openness","Agreeableness","Cscore","Usage","Education"
"Legalh","21","26","20","23","26","CL2","University Degree"
"LSD","21","26","20","23","26","CL3","University Degree"
"Meth","21","26","20","23","26","CL0","University Degree"
"Mushrooms","21","26","20","23","26","CL3","University Degree"
"Nicotine","21","26","20","23","26","CL3","University Degree"
"Semer","21","26","20","23","26","CL0","University Degree"
"VSA","21","26","20","23","26","CL3","University Degree"
"Alcohol","24","31","26","21","28","CL6","Some College"
"Amphet","24","31","26","21","28","CL0","Some College"
"Amyl","24","31","26","21","28","CL0","Some College"
"Benzos","24","31","26","21","28","CL0","Some College"
"Caff","24","31","26","21","28","CL5","Some College"
"Cannabis","24","31","26","21","28","CL0","Some College"
"Choc","24","31","26","21","28","CL6","Some College"
"Coke","24","31","26","21","28","CL0","Some College"
"Crack","24","31","26","21","28","CL0","Some College"
"Ecstasy","24","31","26","21","28","CL0","Some College"
"Heroin","24","31","26","21","28","CL0","Some College"
"Ketamine","24","31","26","21","28","CL0","Some College"
"Legalh","24","31","26","21","28","CL0","Some College"
"LSD","24","31","26","21","28","CL0","Some College"
"Meth","24","31","26","21","28","CL6","Some College"
"Mushrooms","24","31","26","21","28","CL0","Some College"
"Nicotine","24","31","26","21","28","CL0","Some College"
"Semer","24","31","26","21","28","CL0","Some College"
"VSA","24","31","26","21","28","CL0","Some College"
"Alcohol","24","25","26","26","22","CL4","Some College"
"Amphet","24","25","26","26","22","CL0","Some College"
"Amyl","24","25","26","26","22","CL0","Some College"
"Benzos","24","25","26","26","22","CL0","Some College"
"Caff","24","25","26","26","22","CL6","Some College"
"Cannabis","24","25","26","26","22","CL6","Some College"
"Choc","24","25","26","26","22","CL4","Some College"
"Coke","24","25","26","26","22","CL0","Some College"
"Crack","24","25","26","26","22","CL0","Some College"
"Ecstasy","24","25","26","26","22","CL4","Some College"
"Heroin","24","25","26","26","22","CL0","Some College"
"Ketamine","24","25","26","26","22","CL0","Some College"
"Legalh","24","25","26","26","22","CL3","Some College"
"LSD","24","25","26","26","22","CL5","Some College"
"Meth","24","25","26","26","22","CL5","Some College"
"Mushrooms","24","25","26","26","22","CL3","Some College"
"Nicotine","24","25","26","26","22","CL6","Some College"
"Semer","24","25","26","26","22","CL0","Some College"
"VSA","24","25","26","26","22","CL0","Some College"
"Alcohol","25","22","20","10"," 9","CL5","Some College"
"Amphet","25","22","20","10"," 9","CL0","Some College"
"Amyl","25","22","20","10"," 9","CL0","Some College"
"Benzos","25","22","20","10"," 9","CL0","Some College"
"Caff","25","22","20","10"," 9","CL6","Some College"
"Cannabis","25","22","20","10"," 9","CL6","Some College"
"Choc","25","22","20","10"," 9","CL6","Some College"
"Coke","25","22","20","10"," 9","CL0","Some College"
"Crack","25","22","20","10"," 9","CL0","Some College"
"Ecstasy","25","22","20","10"," 9","CL0","Some College"
"Heroin","25","22","20","10"," 9","CL0","Some College"
"Ketamine","25","22","20","10"," 9","CL0","Some College"
"Legalh","25","22","20","10"," 9","CL5","Some College"
"LSD","25","22","20","10"," 9","CL5","Some College"
"Meth","25","22","20","10"," 9","CL0","Some College"
"Mushrooms","25","22","20","10"," 9","CL4","Some College"
"Nicotine","25","22","20","10"," 9","CL6","Some College"
"Semer","25","22","20","10"," 9","CL0","Some College"
"VSA","25","22","20","10"," 9","CL4","Some College"
"Alcohol","31"," 8"," 2","30","14","CL5","University Degree"
"Amphet","31"," 8"," 2","30","14","CL6","University Degree"
"Amyl","31"," 8"," 2","30","14","CL0","University Degree"
"Benzos","31"," 8"," 2","30","14","CL5","University Degree"
"Caff","31"," 8"," 2","30","14","CL6","University Degree"
"Cannabis","31"," 8"," 2","30","14","CL5","University Degree"
"Choc","31"," 8"," 2","30","14","CL6","University Degree"
"Coke","31"," 8"," 2","30","14","CL0","University Degree"
"Crack","31"," 8"," 2","30","14","CL0","University Degree"
"Ecstasy","31"," 8"," 2","30","14","CL2","University Degree"
"Heroin","31"," 8"," 2","30","14","CL0","University Degree"
"Ketamine","31"," 8"," 2","30","14","CL0","University Degree"
"Legalh","31"," 8"," 2","30","14","CL0","University Degree"
"LSD","31"," 8"," 2","30","14","CL0","University Degree"
"Meth","31"," 8"," 2","30","14","CL4","University Degree"
"Mushrooms","31"," 8"," 2","30","14","CL0","University Degree"
"Nicotine","31"," 8"," 2","30","14","CL6","University Degree"
"Semer","31"," 8"," 2","30","14","CL0","University Degree"
"VSA","31"," 8"," 2","30","14","CL0","University Degree"
"Alcohol","30","28","22","17","33","CL6","University Degree"
"Amphet","30","28","22","17","33","CL2","University Degree"
"Amyl","30","28","22","17","33","CL0","University Degree"
"Benzos","30","28","22","17","33","CL4","University Degree"
"Caff","30","28","22","17","33","CL6","University Degree"
"Cannabis","30","28","22","17","33","CL6","University Degree"
"Choc","30","28","22","17","33","CL6","University Degree"
"Coke","30","28","22","17","33","CL6","University Degree"
"Crack","30","28","22","17","33","CL5","University Degree"
"Ecstasy","30","28","22","17","33","CL5","University Degree"
"Heroin","30","28","22","17","33","CL6","University Degree"
"Ketamine","30","28","22","17","33","CL0","University Degree"
"Legalh","30","28","22","17","33","CL3","University Degree"
"LSD","30","28","22","17","33","CL5","University Degree"
"Meth","30","28","22","17","33","CL6","University Degree"
"Mushrooms","30","28","22","17","33","CL2","University Degree"
"Nicotine","30","28","22","17","33","CL2","University Degree"
"Semer","30","28","22","17","33","CL0","University Degree"
"VSA","30","28","22","17","33","CL0","University Degree"
"Alcohol","26","33","29","16","19","CL3","Some College"
"Amphet","26","33","29","16","19","CL6","Some College"
"Amyl","26","33","29","16","19","CL0","Some College"
"Benzos","26","33","29","16","19","CL4","Some College"
"Caff","26","33","29","16","19","CL6","Some College"
"Cannabis","26","33","29","16","19","CL6","Some College"
"Choc","26","33","29","16","19","CL5","Some College"
"Coke","26","33","29","16","19","CL4","Some College"
"Crack","26","33","29","16","19","CL3","Some College"
"Ecstasy","26","33","29","16","19","CL6","Some College"
"Heroin","26","33","29","16","19","CL4","Some College"
"Ketamine","26","33","29","16","19","CL3","Some College"
"Legalh","26","33","29","16","19","CL6","Some College"
"LSD","26","33","29","16","19","CL4","Some College"
"Meth","26","33","29","16","19","CL5","Some College"
"Mushrooms","26","33","29","16","19","CL4","Some College"
"Nicotine","26","33","29","16","19","CL0","Some College"
"Semer","26","33","29","16","19","CL0","Some College"
"VSA","26","33","29","16","19","CL0","Some College"
"Alcohol","16","27","21","19","22","CL6","University Degree"
"Amphet","16","27","21","19","22","CL2","University Degree"
"Amyl","16","27","21","19","22","CL0","University Degree"
"Benzos","16","27","21","19","22","CL4","University Degree"
"Caff","16","27","21","19","22","CL6","University Degree"
"Cannabis","16","27","21","19","22","CL3","University Degree"
"Choc","16","27","21","19","22","CL4","University Degree"
"Coke","16","27","21","19","22","CL0","University Degree"
"Crack","16","27","21","19","22","CL0","University Degree"
"Ecstasy","16","27","21","19","22","CL0","University Degree"
"Heroin","16","27","21","19","22","CL0","University Degree"
"Ketamine","16","27","21","19","22","CL0","University Degree"
"Legalh","16","27","21","19","22","CL0","University Degree"
"LSD","16","27","21","19","22","CL0","University Degree"
"Meth","16","27","21","19","22","CL0","University Degree"
"Mushrooms","16","27","21","19","22","CL0","University Degree"
"Nicotine","16","27","21","19","22","CL4","University Degree"
"Semer","16","27","21","19","22","CL0","University Degree"
"VSA","16","27","21","19","22","CL0","University Degree"
"Alcohol","41","27","28","28","26","CL5","PhD"
"Amphet","41","27","28","28","26","CL3","PhD"
"Amyl","41","27","28","28","26","CL0","PhD"
"Benzos","41","27","28","28","26","CL0","PhD"
"Caff","41","27","28","28","26","CL3","PhD"
"Cannabis","41","27","28","28","26","CL3","PhD"
"Choc","41","27","28","28","26","CL6","PhD"
"Coke","41","27","28","28","26","CL0","PhD"
"Crack","41","27","28","28","26","CL0","PhD"
"Ecstasy","41","27","28","28","26","CL5","PhD"
"Heroin","41","27","28","28","26","CL0","PhD"
"Ketamine","41","27","28","28","26","CL0","PhD"
"Legalh","41","27","28","28","26","CL0","PhD"
"LSD","41","27","28","28","26","CL4","PhD"
"Meth","41","27","28","28","26","CL0","PhD"
"Mushrooms","41","27","28","28","26","CL0","PhD"
"Nicotine","41","27","28","28","26","CL0","PhD"
"Semer","41","27","28","28","26","CL0","PhD"
"VSA","41","27","28","28","26","CL0","PhD"
"Alcohol","26","28","32","32","23","CL4","Some College"
"Amphet","26","28","32","32","23","CL3","Some College"
"Amyl","26","28","32","32","23","CL0","Some College"
"Benzos","26","28","32","32","23","CL0","Some College"
"Caff","26","28","32","32","23","CL6","Some College"
"Cannabis","26","28","32","32","23","CL4","Some College"
"Choc","26","28","32","32","23","CL6","Some College"
"Coke","26","28","32","32","23","CL0","Some College"
"Crack","26","28","32","32","23","CL0","Some College"
"Ecstasy","26","28","32","32","23","CL3","Some College"
"Heroin","26","28","32","32","23","CL0","Some College"
"Ketamine","26","28","32","32","23","CL0","Some College"
"Legalh","26","28","32","32","23","CL0","Some College"
"LSD","26","28","32","32","23","CL5","Some College"
"Meth","26","28","32","32","23","CL0","Some College"
"Mushrooms","26","28","32","32","23","CL0","Some College"
"Nicotine","26","28","32","32","23","CL4","Some College"
"Semer","26","28","32","32","23","CL0","Some College"
"VSA","26","28","32","32","23","CL0","Some College"
"Alcohol","28","21","16","30","24","CL6","Trade School"
"Amphet","28","21","16","30","24","CL6","Trade School"
"Amyl","28","21","16","30","24","CL2","Trade School"
"Benzos","28","21","16","30","24","CL0","Trade School"
"Caff","28","21","16","30","24","CL6","Trade School"
"Cannabis","28","21","16","30","24","CL5","Trade School"
"Choc","28","21","16","30","24","CL5","Trade School"
"Coke","28","21","16","30","24","CL3","Trade School"
"Crack","28","21","16","30","24","CL0","Trade School"
"Ecstasy","28","21","16","30","24","CL3","Trade School"
"Heroin","28","21","16","30","24","CL0","Trade School"
"Ketamine","28","21","16","30","24","CL0","Trade School"
"Legalh","28","21","16","30","24","CL2","Trade School"
"LSD","28","21","16","30","24","CL0","Trade School"
"Meth","28","21","16","30","24","CL0","Trade School"
"Mushrooms","28","21","16","30","24","CL0","Trade School"
"Nicotine","28","21","16","30","24","CL5","Trade School"
"Semer","28","21","16","30","24","CL0","Trade School"
"VSA","28","21","16","30","24","CL0","Trade School"
"Alcohol","34","18","22","28","24","CL4","Some College"
"Amphet","34","18","22","28","24","CL0","Some College"
"Amyl","34","18","22","28","24","CL0","Some College"
"Benzos","34","18","22","28","24","CL0","Some College"
"Caff","34","18","22","28","24","CL6","Some College"
"Cannabis","34","18","22","28","24","CL3","Some College"
"Choc","34","18","22","28","24","CL6","Some College"
"Coke","34","18","22","28","24","CL0","Some College"
"Crack","34","18","22","28","24","CL0","Some College"
"Ecstasy","34","18","22","28","24","CL0","Some College"
"Heroin","34","18","22","28","24","CL0","Some College"
"Ketamine","34","18","22","28","24","CL0","Some College"
"Legalh","34","18","22","28","24","CL3","Some College"
"LSD","34","18","22","28","24","CL0","Some College"
"Meth","34","18","22","28","24","CL0","Some College"
"Mushrooms","34","18","22","28","24","CL0","Some College"
"Nicotine","34","18","22","28","24","CL5","Some College"
"Semer","34","18","22","28","24","CL0","Some College"
"VSA","34","18","22","28","24","CL0","Some College"
"Alcohol","26","17","30","25","29","CL6","Masters"
"Amphet","26","17","30","25","29","CL3","Masters"
"Amyl","26","17","30","25","29","CL1","Masters"
"Benzos","26","17","30","25","29","CL5","Masters"
"Caff","26","17","30","25","29","CL6","Masters"
"Cannabis","26","17","30","25","29","CL6","Masters"
"Choc","26","17","30","25","29","CL5","Masters"
"Coke","26","17","30","25","29","CL1","Masters"
"Crack","26","17","30","25","29","CL0","Masters"
"Ecstasy","26","17","30","25","29","CL5","Masters"
"Heroin","26","17","30","25","29","CL0","Masters"
"Ketamine","26","17","30","25","29","CL1","Masters"
"Legalh","26","17","30","25","29","CL5","Masters"
"LSD","26","17","30","25","29","CL5","Masters"
"Meth","26","17","30","25","29","CL0","Masters"
"Mushrooms","26","17","30","25","29","CL3","Masters"
"Nicotine","26","17","30","25","29","CL3","Masters"
"Semer","26","17","30","25","29","CL0","Masters"
"VSA","26","17","30","25","29","CL0","Masters"
"Alcohol","25","25","21","19","19","CL6","PhD"
"Amphet","25","25","21","19","19","CL6","PhD"
"Amyl","25","25","21","19","19","CL1","PhD"
"Benzos","25","25","21","19","19","CL4","PhD"
"Caff","25","25","21","19","19","CL4","PhD"
"Cannabis","25","25","21","19","19","CL1","PhD"
"Choc","25","25","21","19","19","CL4","PhD"
"Coke","25","25","21","19","19","CL1","PhD"
"Crack","25","25","21","19","19","CL0","PhD"
"Ecstasy","25","25","21","19","19","CL0","PhD"
"Heroin","25","25","21","19","19","CL0","PhD"
"Ketamine","25","25","21","19","19","CL0","PhD"
"Legalh","25","25","21","19","19","CL0","PhD"
"LSD","25","25","21","19","19","CL1","PhD"
"Meth","25","25","21","19","19","CL0","PhD"
"Mushrooms","25","25","21","19","19","CL1","PhD"
"Nicotine","25","25","21","19","19","CL1","PhD"
"Semer","25","25","21","19","19","CL0","PhD"
"VSA","25","25","21","19","19","CL1","PhD"
"Alcohol","33","19","21","22","29","CL5","Masters"
"Amphet","33","19","21","22","29","CL0","Masters"
"Amyl","33","19","21","22","29","CL0","Masters"
"Benzos","33","19","21","22","29","CL0","Masters"
"Caff","33","19","21","22","29","CL6","Masters"
"Cannabis","33","19","21","22","29","CL0","Masters"
"Choc","33","19","21","22","29","CL6","Masters"
"Coke","33","19","21","22","29","CL0","Masters"
"Crack","33","19","21","22","29","CL0","Masters"
"Ecstasy","33","19","21","22","29","CL0","Masters"
"Heroin","33","19","21","22","29","CL0","Masters"
"Ketamine","33","19","21","22","29","CL0","Masters"
"Legalh","33","19","21","22","29","CL0","Masters"
"LSD","33","19","21","22","29","CL0","Masters"
"Meth","33","19","21","22","29","CL0","Masters"
"Mushrooms","33","19","21","22","29","CL0","Masters"
"Nicotine","33","19","21","22","29","CL3","Masters"
"Semer","33","19","21","22","29","CL0","Masters"
"VSA","33","19","21","22","29","CL0","Masters"
"Alcohol","30","17","18","23","24","CL6","University Degree"
"Amphet","30","17","18","23","24","CL3","University Degree"
"Amyl","30","17","18","23","24","CL0","University Degree"
"Benzos","30","17","18","23","24","CL2","University Degree"
"Caff","30","17","18","23","24","CL6","University Degree"
"Cannabis","30","17","18","23","24","CL6","University Degree"
"Choc","30","17","18","23","24","CL6","University Degree"
"Coke","30","17","18","23","24","CL4","University Degree"
"Crack","30","17","18","23","24","CL0","University Degree"
"Ecstasy","30","17","18","23","24","CL4","University Degree"
"Heroin","30","17","18","23","24","CL0","University Degree"
"Ketamine","30","17","18","23","24","CL2","University Degree"
"Legalh","30","17","18","23","24","CL3","University Degree"
"LSD","30","17","18","23","24","CL3","University Degree"
"Meth","30","17","18","23","24","CL2","University Degree"
"Mushrooms","30","17","18","23","24","CL3","University Degree"
"Nicotine","30","17","18","23","24","CL6","University Degree"
"Semer","30","17","18","23","24","CL0","University Degree"
"VSA","30","17","18","23","24","CL2","University Degree"
"Alcohol","10","25","21","22","13","CL4","University Degree"
"Amphet","10","25","21","22","13","CL0","University Degree"
"Amyl","10","25","21","22","13","CL4","University Degree"
"Benzos","10","25","21","22","13","CL0","University Degree"
"Caff","10","25","21","22","13","CL6","University Degree"
"Cannabis","10","25","21","22","13","CL4","University Degree"
"Choc","10","25","21","22","13","CL4","University Degree"
"Coke","10","25","21","22","13","CL0","University Degree"
"Crack","10","25","21","22","13","CL0","University Degree"
"Ecstasy","10","25","21","22","13","CL4","University Degree"
"Heroin","10","25","21","22","13","CL0","University Degree"
"Ketamine","10","25","21","22","13","CL0","University Degree"
"Legalh","10","25","21","22","13","CL4","University Degree"
"LSD","10","25","21","22","13","CL4","University Degree"
"Meth","10","25","21","22","13","CL0","University Degree"
"Mushrooms","10","25","21","22","13","CL4","University Degree"
"Nicotine","10","25","21","22","13","CL0","University Degree"
"Semer","10","25","21","22","13","CL0","University Degree"
"VSA","10","25","21","22","13","CL0","University Degree"
"Alcohol","21","26","22","16","27","CL3","Masters"
"Amphet","21","26","22","16","27","CL6","Masters"
"Amyl","21","26","22","16","27","CL3","Masters"
"Benzos","21","26","22","16","27","CL2","Masters"
"Caff","21","26","22","16","27","CL6","Masters"
"Cannabis","21","26","22","16","27","CL2","Masters"
"Choc","21","26","22","16","27","CL4","Masters"
"Coke","21","26","22","16","27","CL2","Masters"
"Crack","21","26","22","16","27","CL0","Masters"
"Ecstasy","21","26","22","16","27","CL2","Masters"
"Heroin","21","26","22","16","27","CL0","Masters"
"Ketamine","21","26","22","16","27","CL2","Masters"
"Legalh","21","26","22","16","27","CL0","Masters"
"LSD","21","26","22","16","27","CL0","Masters"
"Meth","21","26","22","16","27","CL0","Masters"
"Mushrooms","21","26","22","16","27","CL0","Masters"
"Nicotine","21","26","22","16","27","CL5","Masters"
"Semer","21","26","22","16","27","CL0","Masters"
"VSA","21","26","22","16","27","CL3","Masters"
"Alcohol","10","35","25","27","31","CL4","Some College"
"Amphet","10","35","25","27","31","CL0","Some College"
"Amyl","10","35","25","27","31","CL0","Some College"
"Benzos","10","35","25","27","31","CL0","Some College"
"Caff","10","35","25","27","31","CL4","Some College"
"Cannabis","10","35","25","27","31","CL4","Some College"
"Choc","10","35","25","27","31","CL3","Some College"
"Coke","10","35","25","27","31","CL0","Some College"
"Crack","10","35","25","27","31","CL0","Some College"
"Ecstasy","10","35","25","27","31","CL0","Some College"
"Heroin","10","35","25","27","31","CL0","Some College"
"Ketamine","10","35","25","27","31","CL0","Some College"
"Legalh","10","35","25","27","31","CL0","Some College"
"LSD","10","35","25","27","31","CL6","Some College"
"Meth","10","35","25","27","31","CL0","Some College"
"Mushrooms","10","35","25","27","31","CL4","Some College"
"Nicotine","10","35","25","27","31","CL0","Some College"
"Semer","10","35","25","27","31","CL0","Some College"
"VSA","10","35","25","27","31","CL5","Some College"
"Alcohol","32","24","33","25","13","CL6","18"
"Amphet","32","24","33","25","13","CL0","18"
"Amyl","32","24","33","25","13","CL0","18"
"Benzos","32","24","33","25","13","CL0","18"
"Caff","32","24","33","25","13","CL6","18"
"Cannabis","32","24","33","25","13","CL3","18"
"Choc","32","24","33","25","13","CL6","18"
"Coke","32","24","33","25","13","CL0","18"
"Crack","32","24","33","25","13","CL0","18"
"Ecstasy","32","24","33","25","13","CL4","18"
"Heroin","32","24","33","25","13","CL0","18"
"Ketamine","32","24","33","25","13","CL4","18"
"Legalh","32","24","33","25","13","CL5","18"
"LSD","32","24","33","25","13","CL3","18"
"Meth","32","24","33","25","13","CL0","18"
"Mushrooms","32","24","33","25","13","CL3","18"
"Nicotine","32","24","33","25","13","CL6","18"
"Semer","32","24","33","25","13","CL0","18"
"VSA","32","24","33","25","13","CL2","18"
"Alcohol","27","14","25"," 5","25","CL5","University Degree"
"Amphet","27","14","25"," 5","25","CL6","University Degree"
"Amyl","27","14","25"," 5","25","CL2","University Degree"
"Benzos","27","14","25"," 5","25","CL5","University Degree"
"Caff","27","14","25"," 5","25","CL6","University Degree"
"Cannabis","27","14","25"," 5","25","CL5","University Degree"
"Choc","27","14","25"," 5","25","CL5","University Degree"
"Coke","27","14","25"," 5","25","CL3","University Degree"
"Crack","27","14","25"," 5","25","CL2","University Degree"
"Ecstasy","27","14","25"," 5","25","CL3","University Degree"
"Heroin","27","14","25"," 5","25","CL3","University Degree"
"Ketamine","27","14","25"," 5","25","CL2","University Degree"
"Legalh","27","14","25"," 5","25","CL3","University Degree"
"LSD","27","14","25"," 5","25","CL3","University Degree"
"Meth","27","14","25"," 5","25","CL6","University Degree"
"Mushrooms","27","14","25"," 5","25","CL3","University Degree"
"Nicotine","27","14","25"," 5","25","CL6","University Degree"
"Semer","27","14","25"," 5","25","CL0","University Degree"
"VSA","27","14","25"," 5","25","CL2","University Degree"
"Alcohol","19","23","27","21","15","CL4","Some College"
"Amphet","19","23","27","21","15","CL4","Some College"
"Amyl","19","23","27","21","15","CL0","Some College"
"Benzos","19","23","27","21","15","CL0","Some College"
"Caff","19","23","27","21","15","CL6","Some College"
"Cannabis","19","23","27","21","15","CL6","Some College"
"Choc","19","23","27","21","15","CL5","Some College"
"Coke","19","23","27","21","15","CL0","Some College"
"Crack","19","23","27","21","15","CL0","Some College"
"Ecstasy","19","23","27","21","15","CL0","Some College"
"Heroin","19","23","27","21","15","CL0","Some College"
"Ketamine","19","23","27","21","15","CL0","Some College"
"Legalh","19","23","27","21","15","CL3","Some College"
"LSD","19","23","27","21","15","CL0","Some College"
"Meth","19","23","27","21","15","CL0","Some College"
"Mushrooms","19","23","27","21","15","CL0","Some College"
"Nicotine","19","23","27","21","15","CL4","Some College"
"Semer","19","23","27","21","15","CL0","Some College"
"VSA","19","23","27","21","15","CL3","Some College"
"Alcohol","18","24","23","35","33","CL3","Some College"
"Amphet","18","24","23","35","33","CL2","Some College"
"Amyl","18","24","23","35","33","CL0","Some College"
"Benzos","18","24","23","35","33","CL3","Some College"
"Caff","18","24","23","35","33","CL5","Some College"
"Cannabis","18","24","23","35","33","CL6","Some College"
"Choc","18","24","23","35","33","CL4","Some College"
"Coke","18","24","23","35","33","CL2","Some College"
"Crack","18","24","23","35","33","CL0","Some College"
"Ecstasy","18","24","23","35","33","CL4","Some College"
"Heroin","18","24","23","35","33","CL0","Some College"
"Ketamine","18","24","23","35","33","CL0","Some College"
"Legalh","18","24","23","35","33","CL3","Some College"
"LSD","18","24","23","35","33","CL3","Some College"
"Meth","18","24","23","35","33","CL0","Some College"
"Mushrooms","18","24","23","35","33","CL3","Some College"
"Nicotine","18","24","23","35","33","CL0","Some College"
"Semer","18","24","23","35","33","CL0","Some College"
"VSA","18","24","23","35","33","CL0","Some College"
"Alcohol","30","21","22","17","23","CL6","Some College"
"Amphet","30","21","22","17","23","CL1","Some College"
"Amyl","30","21","22","17","23","CL0","Some College"
"Benzos","30","21","22","17","23","CL4","Some College"
"Caff","30","21","22","17","23","CL6","Some College"
"Cannabis","30","21","22","17","23","CL3","Some College"
"Choc","30","21","22","17","23","CL4","Some College"
"Coke","30","21","22","17","23","CL1","Some College"
"Crack","30","21","22","17","23","CL0","Some College"
"Ecstasy","30","21","22","17","23","CL0","Some College"
"Heroin","30","21","22","17","23","CL1","Some College"
"Ketamine","30","21","22","17","23","CL1","Some College"
"Legalh","30","21","22","17","23","CL0","Some College"
"LSD","30","21","22","17","23","CL1","Some College"
"Meth","30","21","22","17","23","CL0","Some College"
"Mushrooms","30","21","22","17","23","CL0","Some College"
"Nicotine","30","21","22","17","23","CL1","Some College"
"Semer","30","21","22","17","23","CL0","Some College"
"VSA","30","21","22","17","23","CL0","Some College"
"Alcohol","28","29","28","31","21","CL5","Some College"
"Amphet","28","29","28","31","21","CL0","Some College"
"Amyl","28","29","28","31","21","CL0","Some College"
"Benzos","28","29","28","31","21","CL2","Some College"
"Caff","28","29","28","31","21","CL4","Some College"
"Cannabis","28","29","28","31","21","CL4","Some College"
"Choc","28","29","28","31","21","CL6","Some College"
"Coke","28","29","28","31","21","CL0","Some College"
"Crack","28","29","28","31","21","CL0","Some College"
"Ecstasy","28","29","28","31","21","CL3","Some College"
"Heroin","28","29","28","31","21","CL0","Some College"
"Ketamine","28","29","28","31","21","CL0","Some College"
"Legalh","28","29","28","31","21","CL3","Some College"
"LSD","28","29","28","31","21","CL0","Some College"
"Meth","28","29","28","31","21","CL3","Some College"
"Mushrooms","28","29","28","31","21","CL3","Some College"
"Nicotine","28","29","28","31","21","CL4","Some College"
"Semer","28","29","28","31","21","CL0","Some College"
"VSA","28","29","28","31","21","CL2","Some College"
"Alcohol","34","12","11","23","27","CL6","Some College"
"Amphet","34","12","11","23","27","CL0","Some College"
"Amyl","34","12","11","23","27","CL0","Some College"
"Benzos","34","12","11","23","27","CL5","Some College"
"Caff","34","12","11","23","27","CL6","Some College"
"Cannabis","34","12","11","23","27","CL2","Some College"
"Choc","34","12","11","23","27","CL6","Some College"
"Coke","34","12","11","23","27","CL0","Some College"
"Crack","34","12","11","23","27","CL0","Some College"
"Ecstasy","34","12","11","23","27","CL0","Some College"
"Heroin","34","12","11","23","27","CL0","Some College"
"Ketamine","34","12","11","23","27","CL0","Some College"
"Legalh","34","12","11","23","27","CL4","Some College"
"LSD","34","12","11","23","27","CL0","Some College"
"Meth","34","12","11","23","27","CL6","Some College"
"Mushrooms","34","12","11","23","27","CL0","Some College"
"Nicotine","34","12","11","23","27","CL0","Some College"
"Semer","34","12","11","23","27","CL0","Some College"
"VSA","34","12","11","23","27","CL0","Some College"
"Alcohol","30","21","10","31","20","CL2","Trade School"
"Amphet","30","21","10","31","20","CL6","Trade School"
"Amyl","30","21","10","31","20","CL0","Trade School"
"Benzos","30","21","10","31","20","CL0","Trade School"
"Caff","30","21","10","31","20","CL5","Trade School"
"Cannabis","30","21","10","31","20","CL2","Trade School"
"Choc","30","21","10","31","20","CL6","Trade School"
"Coke","30","21","10","31","20","CL2","Trade School"
"Crack","30","21","10","31","20","CL0","Trade School"
"Ecstasy","30","21","10","31","20","CL3","Trade School"
"Heroin","30","21","10","31","20","CL0","Trade School"
"Ketamine","30","21","10","31","20","CL0","Trade School"
"Legalh","30","21","10","31","20","CL0","Trade School"
"LSD","30","21","10","31","20","CL0","Trade School"
"Meth","30","21","10","31","20","CL0","Trade School"
"Mushrooms","30","21","10","31","20","CL2","Trade School"
"Nicotine","30","21","10","31","20","CL6","Trade School"
"Semer","30","21","10","31","20","CL0","Trade School"
"VSA","30","21","10","31","20","CL0","Trade School"
"Alcohol","31","21","23","11","18","CL3","University Degree"
"Amphet","31","21","23","11","18","CL6","University Degree"
"Amyl","31","21","23","11","18","CL2","University Degree"
"Benzos","31","21","23","11","18","CL6","University Degree"
"Caff","31","21","23","11","18","CL6","University Degree"
"Cannabis","31","21","23","11","18","CL3","University Degree"
"Choc","31","21","23","11","18","CL4","University Degree"
"Coke","31","21","23","11","18","CL4","University Degree"
"Crack","31","21","23","11","18","CL2","University Degree"
"Ecstasy","31","21","23","11","18","CL3","University Degree"
"Heroin","31","21","23","11","18","CL4","University Degree"
"Ketamine","31","21","23","11","18","CL4","University Degree"
"Legalh","31","21","23","11","18","CL0","University Degree"
"LSD","31","21","23","11","18","CL3","University Degree"
"Meth","31","21","23","11","18","CL2","University Degree"
"Mushrooms","31","21","23","11","18","CL5","University Degree"
"Nicotine","31","21","23","11","18","CL6","University Degree"
"Semer","31","21","23","11","18","CL0","University Degree"
"VSA","31","21","23","11","18","CL1","University Degree"
"Alcohol","30","28","28","17","22","CL6","18"
"Amphet","30","28","28","17","22","CL6","18"
"Amyl","30","28","28","17","22","CL0","18"
"Benzos","30","28","28","17","22","CL6","18"
"Caff","30","28","28","17","22","CL6","18"
"Cannabis","30","28","28","17","22","CL6","18"
"Choc","30","28","28","17","22","CL6","18"
"Coke","30","28","28","17","22","CL3","18"
"Crack","30","28","28","17","22","CL3","18"
"Ecstasy","30","28","28","17","22","CL2","18"
"Heroin","30","28","28","17","22","CL0","18"
"Ketamine","30","28","28","17","22","CL0","18"
"Legalh","30","28","28","17","22","CL0","18"
"LSD","30","28","28","17","22","CL3","18"
"Meth","30","28","28","17","22","CL0","18"
"Mushrooms","30","28","28","17","22","CL5","18"
"Nicotine","30","28","28","17","22","CL3","18"
"Semer","30","28","28","17","22","CL0","18"
"VSA","30","28","28","17","22","CL2","18"
"Alcohol","10","24","29","32","28","CL4","Masters"
"Amphet","10","24","29","32","28","CL0","Masters"
"Amyl","10","24","29","32","28","CL0","Masters"
"Benzos","10","24","29","32","28","CL0","Masters"
"Caff","10","24","29","32","28","CL6","Masters"
"Cannabis","10","24","29","32","28","CL6","Masters"
"Choc","10","24","29","32","28","CL6","Masters"
"Coke","10","24","29","32","28","CL1","Masters"
"Crack","10","24","29","32","28","CL0","Masters"
